Day,Close,Volume,Open,High,Low
262, $45.8928,80244454, $45.87, $46.0871, $45.7286
263, $54.4314,105291372, $54.3371, $54.8786, $54.2243
264, $79.6428,70547981, $79.2885, $80.377, $79.2871
265, $106.745,60651790, $106.37, $110.16, $106.26
266, $111.34,56157370, $111.07, $111.99, $108.8
267, $115.97,44284660, $116.47, $116.5, $115.645
268, $279.86,32081110, $277, $280.79, $276.98
269, $45.8014,96587849, $45.9471, $45.97, $45.7471
270, $74.1185,189181917, $72.7043, $74.2857, $71.6043
271, $79.2843,57137328, $79.4014, $79.92, $79.0535
272, $109.41,53265930, $107.12, $109.84, $106.82
273, $108.98,44654830, $112.02, $112.25, $108.98
274, $163.94,43250420, $165.45, $168.35, $162.73
275, $280.41,28575800, $279.57, $281.77, $278.8
276, $76.2714,156143657, $75, $76.4143, $74.3214
277, $78.6814,141217062, $78.5285, $78.7785, $76.9714
278, $112.65,58785590, $111.87, $112.65, $110.66
279, $106.03,96197190, $108.91, $109.52, $105.81
280, $176.42,29385650, $174.88, $177.2, $174.86
281, $166.07,33753490, $165.38, $167.53, $164.39
282, $279.74,29024690, $279.8, $281.9, $279.12
283, $54.6014,58582206, $54.6386, $54.9786, $54.3543
284, $75.1871,112061074, $75.9243, $76.2428, $75.0714
285, $77.78,79939814, $78.5, $78.5714, $77.6757
286, $111.78,86595830, $112.26, $113.24, $111.66
287, $116.64,27756760, $115.8, $117.38, $115.75
288, $174.54,27393660, $175.03, $175.39, $174.09
289, $160.89,47597670, $166, $167.45, $159.09
290, $280.02,24626950, $279.5, $281.18, $278.95
291, $46.03,96006079, $45.9428, $46.1786, $45.4614
292, $56.5643,84150665, $55.3943, $56.5857, $55.3228
293, $74.5329,120153986, $75.7143, $75.7428, $74.1257
294, $78.4314,108738663, $77.9185, $78.8014, $77.831
295, $116.95,21337310, $116.74, $117.5, $116.68
296, $174.35,23451420, $174.87, $175.42, $173.25
297, $156.83,64398230, $160.4, $162.11, $155.3
298, $279.44,69032740, $282.23, $282.65, $278.56
299, $46.315,63928793, $46.1428, $46.3414, $46.0071
300, $56.635,65476620, $56.67, $56.7571, $56.0014
301, $74.19,148609695, $73.21, $74.2385, $72.8914
302, $107.33,47507230, $107.28, $107.37, $105.57
303, $117.06,23724430, $116.8, $117.4, $116.78
304, $175.01,20848660, $174.17, $176.02, $174.1
305, $150.73,95497900, $156.86, $158.16, $149.63
306, $46.4514,66449697, $46.3371, $46.5314, $46.2214
307, $56.9357,50399476, $56.7143, $57.0186, $56.5857
308, $112.94,45097060, $112.16, $113.49, $111.97
309, $107.23,32728460, $107.4, $107.72, $106.451
310, $116.29,26043820, $116.35, $116.51, $115.64
311, $175.01,16339690, $174.68, $175.424, $174.5
312, $46.2286,55731469, $46.4286, $46.45, $46.1671
313, $57.6186,67331438, $57.0986, $57.6557, $57.0707
314, $81.4414,125072328, $81.1428, $81.5314, $80.3943
315, $112.54,25991030, $113.23, $113.33, $112.46
316, $108.61,32618140, $107.27, $108.85, $107.2
317, $116.52,14244050, $115.59, $116.52, $115.59
318, $284,24677880, $280.53, $284.25, $280.3735
319, $74.3097,43936990, $74.3357, $74.8928, $74.1014
320, $81.0957,41888748, $81.4128, $81.6971, $80.8614
321, $112.01,14479610, $112.58, $112.71, $112.01
322, $108.03,13596680, $109, $109, $107.95
323, $146.83,37169230, $148.15, $151.55, $146.59
324, $284.27,12119710, $284.69, $284.89, $282.9197
325, $73.2856,75475003, $74.1428, $74.2085, $73.0171
326, $80.5571,50906710, $81.1571, $81.3571, $80.4823
327, $113.99,33681200, $112.1, $114.52, $112.01
328, $170.57,33113340, $170.8, $171.47, $169.679
329, $157.17,58133850, $148.3, $157.23, $146.72
330, $289.91,23334000, $284.82, $289.98, $284.7
331, $46.3828,62274056, $46.1217, $46.4914, $45.9314
332, $58.0757,66234181, $57.5857, $58.4414, $57.5743
333, $73.58,113575314, $73.3628, $73.75, $72.0943
334, $80.0128,56385717, $80.5457, $80.63, $79.9285
335, $117.26,18131970, $116.52, $117.8, $116.49
336, $170.6,21477380, $170.1, $170.78, $169.71
337, $156.15,51608850, $155.84, $156.77, $150.07
338, $289.8,36592940, $291.12, $293.97, $288.12
339, $46.4957,43898371, $46.5586, $46.6657, $46.4371
340, $57.52,57101943, $58.1271, $58.3214, $57.3343
341, $72.7984,88117426, $72.8985, $73.4971, $72.5885
342, $106.82,26639930, $107.59, $107.69, $106.1807
343, $116.76,20686510, $117.52, $118.0166, $116.2
344, $171.08,16412270, $171, $171.85, $170.48
345, $156.23,41740600, $157.5, $158.52, $154.55
346, $46.47,40775656, $46.6028, $46.6357, $46.4428
347, $57.8743,53774275, $57.6286, $57.95, $57.2157
348, $113.91,27533430, $113.79, $114.77, $113.7
349, $108.74,30912260, $106.96, $109.43, $106.86
350, $116.73,14979680, $116.45, $117.1095, $116.4
351, $169.23,25938760, $170.52, $170.59, $169.22
352, $46.2371,39354103, $46.4971, $46.5014, $46.15
353, $57.8571,44900596, $57.6443, $58.04, $57.6414
354, $79.2171,63265305, $79.6371, $80.0128, $78.903
355, $112.52,29798660, $113.64, $113.92, $112.11
356, $107.32,25184090, $108.58, $108.7, $107.18
357, $115.82,30555900, $116.65, $117.2, $115.43
358, $291.52,36059610, $289.46, $292.69, $285.22
359, $46.08,48344906, $46.1357, $46.2114, $45.9014
360, $76.0247,164519649, $72.9328, $76.4857, $72.7143
361, $80.1457,55761100, $79.1671, $80.1828, $79.1428
362, $110.38,41304780, $112.82, $113.13, $110.21
363, $105.26,40885480, $107.01, $107.03, $104.82
364, $157.74,34499390, $158.53, $159.36, $156.48
365, $293.65,25247630, $289.93, $293.68, $289.52
