Date,Open,High,Low,Close,Volume
129,36.71,37.28,35.75,36.11,5004119
130,36.3,36.7,35.4,35.79,3876738
131,35.74,35.92,35.01,35.66,6089673
132,35.6,35.9,34.57,34.63,4894660
133,34.33,34.63,33.71,33.73,6455417
134,33.51,33.73,32.8,32.92,8094789
135,32.79,33.93,32.79,33.67,7233541
136,33.65,34.29,32.96,33.49,5219272
137,33.5,34.77,33.39,34.48,8866617
138,34.39,34.81,33.83,34.18,5836931
139,33.85,33.97,32.92,33.19,7136581
140,33.35,34.68,33.34,34.31,7386482
141,34,34.16,33.39,33.59,17997789
142,28.76,29,25.96,26.26,76989454
143,26.45,26.8,26,26.56,26393831
144,26.8,27.18,26.57,27.17,12422847
145,27.02,27.29,26.74,26.89,8076258
146,26.55,26.64,25.84,26.32,13562592
147,26.15,26.3,25.89,26.09,7813074
148,26.09,26.9,25.9,26.69,6943928
149,26.94,27.59,26.8,27.29,10252675
150,27.19,27.29,26.59,26.78,5476963
151,26.8,27.02,26.19,26.36,7266790
152,26.54,26.7,26,26.21,6911202
153,26.2,26.52,25.88,26.49,6405609
154,26.43,26.43,25.76,26.07,5115908
155,26.22,27.06,26.18,26.53,5128017
156,26.97,27.86,26.62,27.77,8201687
157,27.97,28.14,27.52,27.95,7636692
158,27.96,29.75,27.83,29.09,9577536
159,29.09,29.23,28.22,29.12,5998658
160,28.7,28.98,27.97,28.13,5335129
161,28.14,28.89,28.05,28.37,4587382
162,28.56,28.89,27.77,28.14,4727021
163,28.24,28.25,27.54,27.97,4517284
164,27.79,28.23,27.62,28.03,3542541
165,28.4,29,28.27,28.91,6067435
166,28.97,29.72,28.75,29.52,7398633
167,29.57,30.85,29.48,30.67,11306220
168,30.75,30.99,30.47,30.83,5966833
169,30.85,31.8,30.85,31.76,6563739
170,31.61,32.3,31.24,32.23,7468441
171,31.76,31.98,30.65,30.8,9115301
172,30.57,30.64,29.68,29.73,8903002
173,30.19,30.66,29.94,30.51,5227146
174,30.23,31.13,29.72,30.79,7403880
175,30.87,31.94,30.53,31.72,6533399
176,31.73,31.96,31.37,31.67,4373204
177,31.54,31.87,31.18,31.65,3705760
178,31.9,32.74,31.58,32.52,10309521
179,32.44,32.67,31.88,32.08,5123102
180,32.24,32.3,30.82,31.58,8572558
181,31.81,32.81,31.8,32.12,8548900
182,32.24,32.56,30.07,30.22,15555067
183,30.22,30.95,29.9,30.84,7249225
184,31.05,31.97,30.74,31.79,6623616
185,31.89,32.59,31.8,32.5,6602109
186,32.28,32.46,31.93,32.33,5479812
187,32.27,32.33,31.22,31.84,7499585
188,32.01,32.34,31.54,32.12,5227352
189,31.98,32.03,30.83,30.87,6817083
190,30.9,32,30.58,31.7,8034079
191,31.75,32.83,31.3,32.76,7066222
192,32.68,33.4,32.4,33.32,8458629
193,33.15,33.22,32.5,32.59,4219177
194,32.49,33.48,32.45,33.38,5289313
195,33.27,33.58,32.49,32.62,6346487
196,32.61,33.15,32.27,32.91,6730040
197,33.1,33.71,32.63,33.55,5991778
198,33.35,33.58,33.08,33.32,4068324
199,32.85,33.2,32.55,32.6,6770064
200,32.2,32.61,31.75,32.47,6635707
201,32.57,32.78,32,32.31,5349351
202,32.17,32.84,32.1,32.54,4049219
203,32.69,32.69,32.21,32.57,5839387
204,32.47,32.91,32.14,32.88,8059332
205,32.87,38,32.86,33.63,23433147
206,37.3,37.98,36.04,37.68,46687033
207,37.25,38.49,37.18,38.3,17085937
208,38.15,38.38,37.66,38.24,9953364
209,38.05,38.34,37.68,38.15,6882817
210,38.22,38.59,37.8,38.09,6216172
211,38.12,38.2,37.46,37.56,7066215
212,37.33,37.77,37.11,37.45,5447319
213,37.61,37.71,36.87,37.46,5124276
214,37.64,38.35,37.53,38.21,4550217
215,38.2,39,38.04,38.77,7747525
216,38.58,39.48,38.46,39.47,8168793
217,39.5,39.77,38.81,38.84,5810388
218,38.79,39.36,38.76,39.26,4511140
219,39.23,40,39.13,39.99,6948508
220,40.11,41.67,39.62,41.51,10953592
221,41.5,43.1,41.5,42.6,13559897
222,42.44,42.95,42.4,42.84,10686985
223,42.55,42.67,42.22,42.55,6539118
224,42.35,42.55,41.94,42.44,5796486
225,42.55,43.25,42.12,42.54,6984509
226,42.5,42.98,42.18,42.96,4535758
227,42.56,42.94,42.31,42.41,2244326
228,42.18,42.8,40.72,40.85,8974367
229,40.75,41.07,40.3,40.92,7106025
230,40.48,41.1,40,40.63,7854837
231,40.42,40.64,39.85,40.34,6346303
232,40.26,40.54,39.09,39.41,8307165
233,39.31,39.48,38.87,39.1,9724662
234,39.13,39.3,38.72,38.98,5738721
235,38.77,39.58,38.64,38.9,5779600
236,38.93,39.09,38.05,38.12,6621942
237,37.92,38.95,37.7,38.46,5143825
238,38.22,39.15,38.08,38.69,4850399
239,38.44,38.94,38.15,38.46,5112139
240,38.61,39.19,38.19,38.5,4678110
241,38.74,39.54,38.6,39.02,6303698
242,39.38,40.19,39.23,40.01,8197261
243,40.2,40.64,38.86,39.26,6487426
244,38.78,39.72,38.23,39.42,7519984
245,39.43,40.3,39.39,40.01,7884769
246,39.87,40.34,39.65,39.89,6550244
247,39.98,40.51,39.91,40.24,5585189
248,40.13,40.13,39.42,39.8,4473707
249,39.86,40.47,39.8,40.29,3538526
250,40.38,40.63,39.92,40.21,4622714
251,40.06,40.25,39.35,39.46,4198876
252,38.68,39.06,38.05,38.7,12441282
253,38.59,39.14,38.26,38.9,6328615
254,38.72,38.79,37.6,38.37,6623820
255,38.22,38.31,37.17,37.5,6784631
256,37.6,38.06,37.34,37.78,5703051
257,37.49,37.7,37.07,37.15,6531890
258,37.17,38,37.17,37.4,6466519
259,37.36,38.21,37.27,38.2,4466584
260,38.4,38.89,37.97,38.66,5643793
261,38.7,39,37.78,37.88,5052837
262,37.5,37.65,36.72,36.98,9105053
263,36.69,37.48,36.6,37.02,6097501
264,37.65,37.9,36.8,36.95,8316927
265,36.9,37.07,36.3,36.43,5316072
266,36.51,37.36,36.5,37.26,5277263
267,38.08,38.23,36.78,37.08,6758648
268,37.26,37.26,36.3,36.85,4140051
269,36.7,37.45,36.54,37.43,7396008
270,37.29,37.42,36.63,37.05,4813874
271,36.95,38.19,36.76,37.67,7279296
272,37.95,39.3,37.85,38.7,26356712
273,37.23,37.74,36.68,37.39,25876489
274,37.25,37.42,36.77,37.16,6114490
275,37.2,38.41,37.08,38.27,8612704
276,38.49,39.52,38.4,38.98,10506579
277,38.95,39.51,38.67,39.1,5485265
278,39.19,39.31,38.66,38.72,5960132
279,38.79,38.99,38.36,38.85,3836064
280,38.85,39.61,38.85,39.31,4660639
281,39.23,40.28,39.14,40.14,6815385
282,40.14,40.32,39.86,40.06,5090382
283,39.9,40.44,39.87,40.33,4681497
284,40.13,41.74,40,41.51,8909809
285,41.19,41.32,40.92,41.26,4508515
286,41.4,42,40.89,41,4930195
287,41,41.2,40.74,40.78,6155674
288,40.86,41.2,40.4,40.88,4041247
289,40.19,40.54,38.78,38.83,8873794
290,38.91,39.58,38.08,39.14,7699344
291,39.32,39.32,38.05,38.85,9255868
292,38.32,38.87,37.69,37.69,7788002
293,37.15,38.32,37.04,37.05,9572584
294,37.69,38.66,37.41,38.58,12856567
295,38.68,39.32,38.28,38.36,8644609
296,38.77,39.22,37.98,38.1,7629786
297,38.48,38.89,38,38.84,6202503
298,38.64,39.05,38.38,38.81,4879546
299,38.3,38.88,37.69,37.82,5204016
300,37.76,38.22,37.26,38.08,8591814
301,38.1,38.29,37.55,37.78,7265614
302,37.72,38.08,37.52,37.85,6866246
303,38,38.54,38,38.45,4226510
304,38.53,38.69,38.23,38.58,3803209
305,38.55,39.8,38.31,39.8,4998813
306,39.48,39.72,38.91,39.49,5386403
307,39.56,39.6,38.98,38.98,2941846
308,38.98,39.05,38.43,39.01,3521180
309,38.82,39.42,38.76,39.37,3994537
310,39.09,39.51,38.74,39.34,6227918
311,39.65,39.92,39.3,39.81,6406583
312,39.75,40.24,39.42,39.79,5996823
313,39.85,40.47,39.55,40.42,7091398
314,40.42,41.38,40.4,41.19,5968492
315,41.22,41.55,40.92,41.53,4066520
316,41.57,41.76,41.44,41.68,3290494
317,41.72,42.14,41.61,41.66,4182692
318,41.57,41.96,41.46,41.86,3421874
319,41.73,41.87,41.24,41.68,5124457
320,41.73,42.37,41.4,42.27,4756085
321,42.19,42.5,41.93,42.41,3610495
322,43.77,45.3,43.67,45.2,13446410
323,45.28,45.32,44.75,45.07,7416630
324,44.8,45.15,44.63,44.99,4997302
325,44.61,45.15,44.41,44.64,4810410
326,45.09,45.17,44.52,44.95,6672286
327,44.27,44.81,44.16,44.77,7118544
328,44.75,45,44.43,44.75,21435247
329,53.12,57.18,52.95,56.81,104404589
330,56.5,63.04,56.07,62.78,62319560
331,61.24,63.84,60.62,62.6,50763138
332,61.91,62.44,61.18,61.33,24068486
333,61.12,62.04,60.28,62.04,18536789
334,61.68,62.25,60.9,61.18,14462141
335,61.08,62.54,60.76,62.19,13511753
336,62.39,63.75,62.35,63.23,14308890
337,62.43,63.23,60.71,60.82,14814070
338,60.54,61.84,59.7,61.83,13560994
339,62,62.95,61.3,62.85,8881384
340,62.44,62.65,60.85,60.92,10057149
341,60.96,61.6,60.56,61.56,8010571
342,61.68,61.74,60.6,61.7,7774512
343,61.4,61.97,60.52,60.58,8705528
344,61.02,63.34,60.1,63.22,14521211
345,62.88,63.52,62.02,62.17,11883418
346,62.48,63.3,62.28,63.3,9835752
347,63.58,68.68,63.3,68.3,36536523
348,68.48,69.07,67.21,68.88,17223428
349,69.21,73.31,68.79,69,42645642
350,69.04,70.42,67.71,69.35,23834226
351,69.69,69.7,68.25,68.55,9987271
352,68.43,69.78,67.72,69.63,11734474
353,69.06,70.08,68.86,69.86,10590222
354,70.68,70.74,68.57,69.14,9317737
355,68.9,69.3,68.35,68.58,7015310
356,68.25,70.65,67.65,70.42,11393575
357,71.1,74.24,70.86,73.65,30510163
358,73.14,73.75,71.86,72.29,15720867
359,72.57,74.72,70.88,72.04,24165794
360,72.47,73.24,71.05,73.24,10207933
361,73,73.05,71,71.17,11168133
362,70.44,70.76,69.42,70.07,11842611
363,70.9,71.89,69.25,70.89,11937973
364,70.9,72.12,70.8,71.94,8249183
365,72.85,72.87,71.19,72.4,9899941
366,72.34,72.64,71.4,71.83,7816426
367,71.55,71.66,69.68,69.81,11913841
368,70.25,70.5,69.05,69.1,9175391
369,69.16,69.77,68.66,69.67,7610148
370,69.55,69.88,68.42,68.86,8715175
371,69.35,69.63,68.3,68.66,7596179
372,68.53,68.63,67.38,67.48,11249450
373,66.96,68.21,66.71,68.14,8244080
374,68.46,70.23,68.15,68.89,9792599
375,69.03,69.19,68.15,68.41,5317593
376,68.81,69.71,68.2,69.61,4923762
377,70.04,70.05,69.02,69.45,2223453
378,69.36,69.65,68.06,68.73,4487996
379,68.75,69.3,68.01,68.97,4616431
380,69.38,72.35,69.02,72.07,14819543
381,71.65,71.94,70.07,70.28,8885887
382,70.58,71.65,70.15,70.73,6593554
383,71.31,73.57,70.73,72.79,11452247
384,73.08,75.35,72.97,75.1,12502158
385,74.73,74.84,73,73.69,8334866
386,74.39,74.52,73.59,73.79,6085873
387,73.27,73.49,72.25,73.32,6291724
388,74.24,74.32,73.12,73.35,5278241
389,72.62,72.96,70.5,71.63,9134183
390,71.78,72.67,70.85,71.74,9267706
391,71.04,72.16,68.85,69.25,26343703
392,84.66,88.8,83.65,86.18,60514277
393,85.02,89,83.43,84.01,23459385
394,84.27,85.33,82.48,84.04,13939690
395,83,84.05,81.51,82.7,12880155
396,83.7,83.73,78,78.54,14107020
397,78.1,78.15,75.06,77.31,16921505
398,77.86,79.76,76.12,79.71,10366601
399,79.54,80.75,76.71,76.8,7987476
400,77.06,79,76.6,79,9005183
401,78.55,80,77.89,79.14,8067577
402,79.77,79.88,76.56,77.78,8244747
403,76.4,77.26,74.11,74.11,8349510
404,73.15,76.5,72.37,74.78,9067161
405,76.09,76.32,74.7,74.87,6069952
406,74.79,74.79,72.92,73.45,5946273
407,73.02,75.15,72.26,72.38,6375840
408,72,73.24,70.05,72.79,10789226
409,74.49,75.04,73.11,75.02,7242710
410,74.98,75.28,73.8,74.7,5917172
411,74.21,77.83,74.09,77.49,8432279
412,78.24,79.49,77.84,78.5,6853563
413,78.94,79,76.51,77.3,5667890
414,76.8,79.4,76.69,79.25,5666404
415,80.56,80.8,78.42,78.65,6952389
416,77.86,78.65,76.08,76.22,5767522
417,76.96,79.05,76.86,79.05,5079559
418,78.4,80.11,78.3,78.68,4629047
419,80,80.53,79.7,79.91,6158620
420,79.9,83.53,79.73,82.7,8266031
421,82.24,84.89,82.22,83.75,9064777
422,84.5,86.46,82.85,86.21,8826809
423,84.7,84.97,83.21,84.52,8231148
424,84.93,85.16,82.51,83.34,5367574
425,84.17,86.61,83.53,86.28,6863683
426,86.07,88.89,85.97,87.3,9031611
427,87.95,88.07,86.5,87.26,5987752
428,86.41,88.09,86.31,87.77,3954857
429,86.98,87.34,85.98,86.91,4486105
430,87.38,91.6,86.71,88.75,8930712
431,89.52,89.82,88.26,89,6459297
432,88.9,90.42,88.82,89.65,5781835
433,90.29,91.9,89.65,91.3,6527423
434,91.3,93.75,90.81,92.59,5325621
435,91.99,93.5,90.95,93.48,5801447
436,94.04,94.26,92.29,93.43,5771674
437,94.07,94.11,93.11,93.38,2814359
438,92.77,93.6,91.7,93.15,4816413
439,93.42,94.1,92.83,93.41,5398163
440,93.86,93.9,91.4,92.36,4867150
441,92.19,92.8,91.78,92.46,5054188
442,92.55,92.57,91.45,92.26,3320497
443,93.55,93.71,92.34,93.43,5523452
444,94.22,95.85,94,95.85,7432365
445,96.59,96.73,94.75,95.32,7146385
446,95.5,95.75,94.37,94.66,5574168
447,95.33,95.74,88.13,89.34,9823727
448,89.42,92.39,88.92,92.37,8361146
449,91.8,92.12,90.1,90.53,5613270
450,88.69,90.05,88.5,89.53,8511478
451,91.9,91.9,89.06,90.55,7678613
452,89.37,90.43,89.15,89.85,5335379
453,89.93,90.65,89.32,89.76,9129431
454,89.25,91.69,89.02,91.29,9868359
455,95.28,101.09,94.21,100.82,41761786
456,90.87,90.88,83.27,88.73,41617368
457,88.23,89.5,86.32,88.21,11637218
458,89,90.88,87.7,90,8829701
459,90.41,91.47,89.48,90.1,7097193
460,89.67,90.65,88.05,88.24,5408392
461,88.05,89.6,87,89.15,7049367
462,87.75,89.58,86.5,87.65,8268364
463,87.97,88.12,83.5,85.98,10231033
464,84.35,86.02,82.76,84.37,7458553
465,84.61,87.5,84.37,87.27,7934654
466,86.41,89.16,86.16,87.04,8402054
467,86.8,86.96,81.4,83.58,11804028
468,82.42,82.42,78.84,78.89,11620362
469,78.26,80.09,76.5,77,9400789
470,77.91,80.05,77.8,79.86,9496472
471,80.4,81.15,78.15,78.51,8429816
472,79.43,79.73,76.7,77.85,7835723
473,77.01,78.99,76.63,78.6,7114210
474,78.83,79.75,77.94,79.18,8650372
475,79.86,82,78.31,80.39,11609940
476,79.24,80.86,78.65,79.76,6679431
477,80.11,81.45,78.98,81.43,2783528
478,82.3,84.49,81.14,81.3,8613028
479,82.92,85.65,82.21,85.59,8635889
480,87.55,90.57,86.75,90.3,11405889
481,89.89,91.47,88.68,89.15,6978826
482,90.56,91.08,88.31,90.56,6887323
483,90.03,92.25,89.77,90.91,6000899
484,90.04,94.56,90.04,94.41,7337858
485,94.99,94.99,91.98,93.19,6609514
486,93.28,95,92.83,94.21,5473204
487,94.56,94.68,92.91,94.31,3935110
488,94.31,94.35,92.3,93.02,5181121
489,93.1,95.94,90.75,90.75,10271984
490,92.84,93.75,89.32,91.28,7229677
491,91.05,93,90.63,92.4,6149178
492,90.77,91.24,88.93,89.08,6002369
493,89.01,89.06,84.99,85.09,7698517
494,85.83,87.46,83.86,86.89,7266260
495,86.94,89.95,86.83,89.38,7619746
496,90.14,90.75,89.09,90.58,5881674
497,91.47,92.28,90.39,91.26,6618947
498,91.05,91.56,90.3,91.01,2017170
499,91.48,93.94,90.5,92.85,5444957
500,92.67,95.29,92.5,94.25,7115884
501,95.27,95.9,92.1,94.45,7587601
502,93.81,94.37,92.45,92.64,5756991
503,95.35,97.43,94.7,96.25,13866390
504,96.06,97.25,94.52,95.21,9122767
505,93.26,93.4,88.5,88.79,10271464
506,88.62,90.57,85.47,88.82,9982305
507,87.55,91.83,86.93,87.88,12285605
508,87.56,87.8,80.24,85.22,16411968
509,83.98,85.97,82.97,84.26,11609869
510,84.03,84.03,80.29,81.08,10624484
511,82.18,83.32,78.87,82.87,9058248
512,80.48,81.01,78.51,80.24,9662411
513,79.58,82.36,78.44,80.35,12410132
514,80.16,82.25,79.54,80.12,9903010
515,79.93,82.31,78.04,79.76,13363032
516,73.58,79.72,72.22,78.48,12837490
517,75.6,76.8,69.95,73.97,20419339
518,74.53,77.88,74.19,77.67,9889106
519,78.69,81.43,76.33,77.6,10027557
520,76.91,77.4,74.34,75.82,8505254
521,75.77,75.9,72.06,73.95,9961975
522,73.54,77.42,73.25,74.21,25298658
523,68.91,78.87,68.84,77.7,42885840
524,79.02,79.4,73.37,74.63,16361192
525,74.5,76.66,73.9,73.95,9155632
526,72.8,74.21,72,72.09,9633883
527,72.3,72.43,68.17,68.49,12406160
528,67.37,72.71,67.22,70.91,14501841
529,73.4,74.6,72.52,73.5,11700383
530,73.14,75.96,72.77,75.19,7763657
531,75.43,77.05,73.79,74.45,9450612
532,74.99,78.85,73.27,77.73,11071222
533,77.73,77.88,75.18,75.8,7498025
534,75,75.19,71.94,72.96,11126493
535,73.54,74,71.55,72.08,7110309
536,71.9,73.88,71.1,73.64,6450726
537,73.94,74.21,69.37,69.9,13157394
538,70.54,72.21,69.86,72.08,12343148
539,72.35,73.5,71.41,73.27,7861563
540,71.91,73.5,70.28,71.69,9891203
541,70.68,71.48,69.57,70.87,8930922
542,70.3,70.6,67.11,67.85,13169346
543,67.01,67.5,63.97,64.47,11664530
544,63.59,64.49,61.2,62.43,13727086
545,61.67,66.6,61.23,65.34,16707403
546,65.66,66.34,63.82,64.99,11127333
547,64.75,65.46,62.5,62.74,8343418
548,62.2,64.87,62.01,64.09,10439060
549,63.9,65.15,62.91,63.47,9324784
550,65.95,67.17,63.71,67.15,9749458
551,66.77,68.23,65.64,66.51,7749116
552,65.11,69.55,64.37,68.32,10708250
553,68.61,70.68,66.06,68.22,12421585
554,65.72,67.79,64.92,66.53,9710523
555,68.25,71.93,67.59,71.7,9553201
556,71.1,74,70.17,70.17,11043084
557,70.17,73.49,69.38,73.19,11412481
558,73.82,76.93,72.75,75.95,9396333
559,75.83,76.29,74.05,75.17,6352643
560,74.14,75.12,73.24,73.8,6285159
561,74.37,74.69,70.8,70.8,7943098
562,71,72.21,69.26,69.76,5279038
563,70.25,71.64,69.63,71.3,5471234
564,72.99,77.09,72.76,76.7,9744952
565,77.08,79,76.12,77.37,8593941
566,75.15,76.01,73.81,74.94,8150027
567,75.26,77.83,74.28,76.87,7153610
568,77.36,78.43,76,76.9,6672452
569,76.4,77.61,75.5,77.3,4968416
570,76.56,76.67,73.66,74.39,6660865
571,74.48,75.49,72.73,74.83,6256078
572,73.84,74.3,71.62,71.99,6785060
573,71.7,74,71.29,72.61,4354555
574,72.97,73.98,70.65,72.5,6814498
575,73.02,75,72.94,74.59,6747236
576,74.18,75.02,73.61,74.04,6222165
577,76.48,82,76.32,80.1,16791835
578,80.03,81.34,79.06,80.18,9338698
579,79.94,79.94,77.54,79.6,7248589
580,80.3,82.64,78.74,81,19250373
581,77.71,80.53,76.93,77.69,21077857
582,77.81,81.32,77.26,80.86,9458202
583,80.64,82.5,80.12,81.97,10993997
584,81.42,81.77,79.86,80.74,6726476
585,80.9,81.34,77.92,78.63,7877144
586,78.4,80.01,77.97,79.36,7196991
587,80.3,81.2,76.4,77.31,8155836
588,77.27,77.77,75.87,75.92,5647857
589,75.51,76.77,75.05,75.71,6545946
590,75.26,76.64,73.09,73.18,8377491
591,73.73,74.16,71.56,72.79,8132200
592,72.2,73.34,71.66,72.41,4243462
593,73,74.93,71.78,74.53,7215485
594,74.57,74.96,73.31,74.56,5021002
595,74.92,75.75,73.98,74.2,4589629
596,73.89,76.32,73.55,76.12,6920952
597,76.42,76.83,74.86,76.46,6206648
598,79.01,84.75,78.86,82.29,18692373
599,82.17,82.7,80.03,80.72,7912217
600,80.37,81.15,77.5,78.3,7070523
601,78.68,79.69,78,79.26,5390548
602,78.55,78.87,77.43,78.35,6331846
603,78.26,80.9,77.97,80.62,10109477
604,80.73,80.79,78.99,80.08,6700776
605,80.61,81.96,80.17,80.35,6858043
606,80.58,81.77,80.3,81.62,5271248
607,81.15,81.57,80.05,80.23,6215132
608,80.71,81.89,79.26,80.11,6264949
609,80.11,81.82,79.72,81.5,6460396
610,82.11,84.88,81.8,84.51,8939839
611,83.24,83.64,80.56,80.63,7845053
612,81.19,81.53,78.12,79.43,6537631
613,78.2,81.04,78.2,79.62,6066976
614,79.35,80,77.03,77.28,5874686
615,78.02,79.05,75.01,76.15,6204552
616,76.7,80,76.7,79.17,5974415
617,78.42,82.53,78.41,81.7,5756040
618,83.15,84.3,82.8,82.97,8803635
619,82,83.17,81.32,82.52,6848052
620,82.21,84.47,81.5,84.26,6717784
621,83.1,83.46,80.51,81.1,6588878
622,81.3,82.15,79.55,80.68,7426219
623,79.55,80.79,77.63,79.64,7140465
624,80.45,82.15,79.52,80.51,7394465
625,79.1,79.89,76,76.3,11311932
626,75.59,76.07,72.62,74.66,11840488
627,74.27,76.12,73.21,73.33,7104248
628,72.24,74.23,70.52,73.62,10292491
629,74.16,74.41,71.38,71.44,7044906
630,72.51,73.84,70.52,72,4248152
631,72.37,74.4,70.76,72.49,7363285
632,72.38,75.49,71.75,75.04,7916771
633,74.56,74.9,70.48,70.61,6912651
634,70.7,71.77,67.99,70.63,9942589
635,69.4,69.99,66.74,68.54,7930518
636,69.31,69.5,65.59,66.28,9021609
637,65.87,68.62,62.99,67.03,11347196
638,66.94,72.75,66.84,71.84,12039213
639,71.2,72.38,67.74,72.11,9597360
640,69.94,70.84,68.4,69.12,8299459
641,69.52,69.8,66.3,68.48,6896948
